step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=68:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,65,64,1,0,1,127.65616926524064,127.65616926524064,500.0,0.001,14.816947746571808,0.014816947746571808,-342.53934079075697,-336.5459991294394,-342.53934079075697,-5.993341661317572,-5.993341661317572,0.1250441085668607,0.014816947746571808,0.014816947746571808,0,64,68,8,8,2.357192271530777,0.0,3.8492788605882797,10.887404739999997,118.53558197257446,0.0,-0.050561540776036765,-0.8100851854299199,10.887404739999997,0.0,10.887404739999997,1.3609255924999992,0.816398370906508,0.06749028322863389,8.165553554999997,8.165553554999999,9.526479147499998,1.469967645803263,0.6666666666666666,0.22682093208333232,0.0,0.0,0.125,-1,4,0,0.0,0.03125,32,1,0.03125,0.0,1.0,0.008436285403579236,0.22682093208333232,0.22682093208333232,0.007088154127604135,5.443702369999997,0.041666666666666505,3.5076923076923077,3.0588235294117645,2.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=67:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,66,64,2,0,2,304.8213960704451,177.1652268052044,500.0,0.001,14.816947746571808,0.014816947746571808,-348.6958073364511,-342.53934079075697,-348.6958073364511,-6.156466545694116,-6.1073154841115525,0.8194290681168548,0.014816947746571808,0.014816947746571808,19,65,67,7,7,2.357192271530777,3.84927886058828,3.8492788605882797,10.887404739999997,118.53558197257446,0.0,-0.10249924963309992,-1.6422190141169566,10.818568025746856,0.0,10.818568025746856,1.292088878246858,0.8821985944843646,0.13498056645726778,7.661804018291817,8.165553554999999,9.526479147499998,1.960808670571478,0.8333333333333334,-0.2769286046248478,0.0,0.0,0.25,-1,4,0,0.0,0.0625,32,2,0.0625,0.0,1.0,0.016872570807158472,-0.1384643023124239,-0.1384643023124239,-0.008654018894526494,5.443702369999997,-0.05087137132092105,3.515151515151515,3.111111111111111,2.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=71:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,67,64,3,0,3,372.7147488711122,67.89335280066712,500.0,0.001,14.816947746571808,0.014816947746571808,-354.7328565636571,-348.6958073364511,-354.7328565636571,-6.037049227206012,-6.001517746768798,0.5180064187993767,0.014816947746571808,0.014816947746571808,18,66,71,6,6,2.3571922715307703,0.0,11.54783658176485,10.887404739999997,118.53558197257446,0.0,-0.15342951990926731,-2.458211897391962,10.818568025746856,0.0,10.818568025746856,1.292088878246858,0.9420059274017547,0.20247084968590168,7.586179072045739,8.165926083479006,9.508101195303844,2.4007878243754193,0.8611111111111112,-0.3525535508709261,0.0003725284790068173,-0.018377952196154013,0.375,-1,4,0,0.0,0.09375,32,3,0.09375,0.0,1.0,0.02530885621073771,-0.1175178502903087,-0.1175178502903087,-0.01101729846471644,5.443702369999997,-0.06476356106715773,3.5223880597014925,3.1578947368421053,2.0,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=64:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,68,64,4,0,4,418.49915884525444,45.78440997414227,500.0,0.001,14.816947746571808,0.014816947746571808,-360.8524361200103,-354.7328565636571,-360.8524361200103,-6.119579556353187,-6.0989348727336505,0.9999915496718392,0.014816947746571808,0.014816947746571808,19,67,64,5,5,2.3382139908246087,3.84927886058828,11.54783658176485,10.887404739999997,118.53558197257446,0.0,-0.2050560395965716,-3.2853599259546606,10.831571816103088,0.0,10.831571816103088,1.3050926686030895,0.9849378054782201,0.26996113291453555,7.554442149093369,8.173872786353273,10.411825869941568,2.4138908029276283,0.9444444444444444,-0.3842904738232962,0.008319231353274503,0.8853467224415699,0.5,-1,4,0,0.0,0.125,32,4,0.125,0.0,1.0,0.033745141614316944,-0.09607261845582404,-0.09607261845582404,-0.012009077306978005,5.443702369999997,-0.07059358644240067,3.5294117647058822,3.2,2.0,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=66:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,69,64,5,0,5,474.88914480575147,56.38998596049706,500.0,0.001,14.816947746571808,0.014816947746571808,-366.12223581048977,-360.8524361200103,-366.12223581048977,-5.269799690479488,-5.240521543357318,0.24376999318100176,0.014816947746571808,0.014816947746571808,22,68,66,4,4,2.361606234939996,3.84927886058828,0.0,10.887404739999997,118.53558197257446,0.0,-0.24951357380515007,-3.997648145228667,10.856798649955298,0.0,10.856798649955298,1.3303195024552998,1.0233832451722624,0.3374514161431695,7.337084550401026,8.173872709760193,10.796198748559004,2.767471488492581,0.9722222222222222,-0.6016480725156388,0.00831915476019418,1.2697196010590055,0.625,-1,4,0,0.0,0.15625,32,5,0.15625,0.0,1.0,0.042181427017896185,-0.12032961450312776,-0.12032961450312776,-0.018801502266113712,5.443702369999997,-0.11052185289028561,3.536231884057971,3.238095238095238,2.0,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=70:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,70,64,6,0,6,636.8694997630703,161.98035495731884,500.0,0.001,14.816947746571808,0.014816947746571808,-371.40248691359693,-366.12223581048977,-371.40248691359693,-5.280251103107162,-5.261942677762704,0.2815445234884213,0.014816947746571808,0.014816947746571808,22,69,70,3,3,2.3579817460355774,0.0,7.69855772117656,10.887404739999997,118.53558197257446,0.0,-0.2940592791135262,-4.711349021249934,10.862386075140765,0.0,10.862386075140765,1.3359069276407673,1.0542859318685205,0.40494169937180335,7.590563760524296,8.167807665064558,10.81705752886684,2.7868566835609125,0.9444444444444444,-0.34816886239236844,0.0022541100645590006,1.290578381366842,0.75,-1,4,0,0.0,0.1875,32,6,0.1875,0.0,1.0,0.05061771242147542,-0.05802814373206141,-0.05802814373206141,-0.010880276949761514,5.443702369999997,-0.06395810033831233,3.5428571428571427,3.272727272727273,2.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=65:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,71,64,7,0,7,649.701387446234,12.831887683163746,500.0,0.001,14.816947746571808,0.014816947746571808,-376.7056168399151,-371.40248691359693,-376.7056168399151,-5.3031299263181495,-5.282730572219975,0.5182917895153744,0.014816947746571808,0.014816947746571808,23,70,65,2,2,2.364779401126898,3.84927886058828,7.69855772117656,10.887404739999997,118.53558197257446,0.0,-0.33879799670420824,-5.428142294933578,10.864315938772354,0.0,10.864315938772354,1.3378367912723554,1.0772025717339322,0.47243198260043723,7.450445708214763,8.16057652116494,10.834305858952446,2.9186856244686323,0.9722222222222222,-0.4882869147019022,-0.00497703383505943,1.3078267114524476,0.875,-1,4,0,0.0,0.21875,32,7,0.21875,0.0,1.0,0.059053997825054654,-0.06975527352884317,-0.06975527352884317,-0.015258966084434444,5.443702369999997,-0.08969757740482467,3.5492957746478875,3.3043478260869565,2.0,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=69:site=Si:neigh=2:ahead0=1.361:mode=shell,z,xy,72,64,8,0,8,750.9039101753754,101.20252272914142,500.0,0.001,14.816947746571808,0.014816947746571808,-382.0236607191574,-376.7056168399151,-382.0236607191574,-5.318043879242339,-5.304343014152948,1.0,0.014816947746571808,0.014816947746571808,23,71,69,1,1,2.357999698045113,0.0,0.0,10.887404739999997,118.53558197257446,0.0,-0.3836625326582543,-6.146951401019715,10.865635023920628,0.0,10.865635023920628,1.3391558764206302,1.0955238020404716,0.5399222658290711,7.6448801211777075,8.153704620454771,10.84441083777342,2.6882101574891806,0.9722222222222222,-0.2938525017389573,-0.011848934545227507,1.3179316902734222,1.0,0,4,1,0.25,0.25,32,8,0.25,0.0,1.0,0.06749028322863389,-0.03673156271736966,-0.03673156271736966,-0.009182890679342415,5.443702369999997,-0.05398026595986684,3.5555555555555554,3.3333333333333335,2.0,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=78:site=Si:neigh=2:ahead0=2.722:mode=shell,z,xy,73,64,9,0,9,754.5286679535315,3.624757778156105,500.0,0.001,14.816947746571808,0.014816947746571808,-388.02770431856413,-382.0236607191574,-388.02770431856413,-6.004043599406714,-5.968847621338568,0.1385001957709943,0.014816947746571808,0.014816947746571808,16,72,78,8,8,2.3706036594775246,5.773918290882425,7.69855772117656,12.248330332499997,118.53558197257446,0.0,-0.4343143580383825,-6.958483105268569,12.15330747687554,0.0,12.15330747687554,2.6268283293755417,0.7987205391274709,0.607412549057705,7.799412687134996,8.15614115174722,10.850754526965664,2.749181253807914,0.9722222222222222,-0.13931993578166857,-0.009412403252778034,1.324275379465666,1.0,0,4,1,0.25,0.28125,32,9,0.28125,0.0,1.0,0.07592656863221313,-0.015479992864629841,-0.015479992864629841,-0.004353747993177143,5.443702369999997,-0.02559286425162672,3.5616438356164384,3.0588235294117645,2.2222222222222223,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=79:site=Si:neigh=2:ahead0=2.722:mode=shell,z,xy,74,64,10,0,10,816.9318152090432,62.403147255511755,500.0,0.001,14.816947746571808,0.014816947746571808,-394.11740380094835,-388.02770431856413,-394.11740380094835,-6.089699482384219,-6.029519339887372,0.35108058123891206,0.014816947746571808,0.014816947746571808,17,73,79,7,7,2.3836612501173127,5.773918290882425,11.54783658176485,12.248330332499997,118.53558197257446,0.0,-0.4856888008938045,-7.781592417764397,12.154115634152248,0.0,12.154115634152248,2.62763648665225,0.8825148541110005,0.674902832286339,8.021784944123102,8.161643121997091,10.847389998219363,2.8285728534302073,0.9166666666666666,0.08305232120643691,-0.0039104330029076095,1.3209108507193648,1.0,0,4,1,0.25,0.3125,32,10,0.3125,0.0,1.0,0.08436285403579237,0.00830523212064369,0.00830523212064369,0.0025953850377011534,5.443702369999997,0.015256587440219837,3.5675675675675675,3.111111111111111,2.4,0.0
