step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=79:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,73,72,1,0,1,120.35539059699916,120.35539059699916,500.0,0.001,15.71574634213149,0.015715746342131492,-360.388010037475,-356.09624700113795,-360.388010037475,-4.291763036337045,-4.291763036337045,0.08333287306792125,0.015715746342131492,0.015715746342131492,0,72,79,12,12,2.357192271530779,0.0,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.03413585125791553,-0.5469166281653853,11.547836581764843,0.0,11.547836581764843,1.9246394302941425,0.5128574276184421,0.06363044924689032,9.088575087500105,9.6231971514707,9.6231971514707,1.0745770494422822,0.5,0.10692441279412002,0.0,0.0,0.08333333333333333,-1,4,0,0.0,0.020833333333333332,48,1,0.020833333333333332,0.0,1.0,0.00795380615586129,0.10692441279412002,0.10692441279412002,0.002227591933210834,7.698557721176565,0.013888888888889027,3.643835616438356,2.923076923076923,1.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=81:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,74,72,2,0,2,287.38836828288277,167.03297768588362,500.0,0.001,15.71574634213149,0.015715746342131492,-366.32366580926487,-360.388010037475,-366.32366580926487,-5.935655771789868,-5.321394386656948,0.4999999984451585,0.015715746342131492,0.015715746342131492,20,73,81,11,11,2.357192271530778,1.9246394302941403,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.08134690667465137,-1.3033211204852588,11.482473884699653,0.0,11.482473884699653,1.8592767332289526,0.655204972484838,0.12726089849378064,8.232388811220035,9.559843280911204,9.699478682865733,2.2677386512683104,0.6944444444444444,-0.74926186348595,-0.06335387055949582,0.07628153139503269,0.16666666666666666,-1,4,0,0.0,0.041666666666666664,48,2,0.041666666666666664,0.0,1.0,0.01590761231172258,-0.374630931742975,-0.374630931742975,-0.015609622155957292,7.698557721176565,-0.09732496535356767,3.6486486486486487,3.0,2.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=73:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,75,72,3,0,3,351.3988351666726,64.01046688378985,500.0,0.001,15.71574634213149,0.015715746342131492,-372.3968590593644,-366.32366580926487,-372.3968590593644,-6.073193250099507,-5.259525037507785,0.8636202742555218,0.015715746342131492,0.015715746342131492,21,74,73,10,10,2.2335187419770293,9.6231971514707,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.12965190853302808,-2.077252566937176,11.608558741966132,0.0,11.608558741966132,1.9853615904954314,0.7405951189973067,0.19089134774067096,8.445771010825203,9.5226646874511,10.172232119569255,2.1217769414512277,0.7777777777777778,-0.5358796638807828,-0.10053246401960081,0.5490349680985549,0.25,-1,4,0,0.0,0.0625,48,3,0.0625,0.0,1.0,0.02386141846758387,-0.1786265546269276,-0.1786265546269276,-0.011164159664182974,7.698557721176565,-0.06960779970600581,3.6533333333333333,3.066666666666667,2.3333333333333335,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=82:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,76,72,4,0,4,394.5647908537939,43.16595568712133,500.0,0.001,15.71574634213149,0.015715746342131492,-377.8157521615007,-372.3968590593644,-377.8157521615007,-5.418893102136337,-4.636512393212115,0.9592039628309033,0.015715746342131492,0.015715746342131492,22,75,82,9,9,2.1671179256942654,7.69855772117656,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.17275273384675435,-2.7678039134855466,11.624792911729582,0.0,11.624792911729582,2.0015957602588816,0.7942343756521613,0.2545217969875613,8.186282553586508,9.506425232439906,11.171981036390694,2.3728585356536174,0.8611111111111112,-0.795368121119477,-0.11677191903079454,1.5487838849199935,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,48,4,0.08333333333333333,0.0,1.0,0.03181522462344516,-0.19884203027986924,-0.19884203027986924,-0.016570169189989103,7.698557721176565,-0.10331391280364674,3.6578947368421053,3.125,2.5,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=77:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,77,72,5,0,5,447.72977947203617,53.16498861824223,500.0,0.001,15.71574634213149,0.015715746342131492,-382.9967908346411,-377.8157521615007,-382.9967908346411,-5.181038673140392,-4.720572776653171,0.9999959148398467,0.015715746342131492,0.015715746342131492,23,76,77,8,8,2.1212604432527655,5.7739182908824205,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.2139617111389338,-3.428044513331627,11.594533189765823,0.0,11.594533189765823,1.9713360382951226,0.8317418655152817,0.3181522462344516,8.087275698033563,8.635318477672257,11.317105500218728,2.4841787398926902,0.9444444444444444,-0.894374976672422,-0.9878786737984431,1.6939083487480282,0.4166666666666667,-1,4,0,0.0,0.10416666666666667,48,5,0.10416666666666667,0.0,1.0,0.03976903077930645,-0.17887499533448442,-0.17887499533448442,-0.018632812014008793,7.698557721176565,-0.11617435486808761,3.6623376623376624,3.176470588235294,2.6,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=83:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,78,72,6,0,6,600.4463226844683,152.71654321243219,500.0,0.001,15.71574634213149,0.015715746342131492,-387.90161983745054,-382.9967908346411,-387.90161983745054,-4.904829002809436,-4.265489772707497,0.8266750391489713,0.015715746342131492,0.015715746342131492,22,77,83,7,7,2.412598372974232,9.6231971514707,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.2529737702549265,-4.053086603780737,11.651140548947033,0.0,11.651140548947033,2.0279433974763332,0.8475910870669451,0.3817826954813419,8.261272631755972,9.522355256355397,11.42764355892199,2.46996334710435,0.9444444444444444,-0.7203780429500135,-0.10084189511530361,1.8044464074512891,0.5,-1,4,0,0.0,0.125,48,6,0.125,0.0,1.0,0.04772283693516774,-0.12006300715833558,-0.12006300715833558,-0.015007875894791948,7.698557721176565,-0.093573117074703,3.641025641025641,3.111111111111111,2.3333333333333335,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=80:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,79,72,7,0,7,612.5443424127207,12.098019728252293,500.0,0.001,15.71574634213149,0.015715746342131492,-393.62631243822483,-387.90161983745054,-393.62631243822483,-5.72469260077429,-5.095574523803293,0.9968200129649758,0.015715746342131492,0.015715746342131492,23,78,80,6,6,2.272513946405512,0.0,0.0,11.547836581764843,125.72597073705192,0.0,-0.2985068655033786,-4.782607210578032,11.728854342816717,0.0,11.728854342816717,2.105657191346017,0.87031207427482,0.44541314472823224,8.3585685748318,9.521823761277929,11.438484557482527,2.497383384639247,0.9722222222222222,-0.6230820998741855,-0.10137339019277114,1.8152874060118265,0.5833333333333334,-1,4,0,0.0,0.14583333333333334,48,7,0.14583333333333334,0.0,1.0,0.05567664309102903,-0.08901172855345507,-0.08901172855345507,-0.012980877080712197,7.698557721176565,-0.08093491306303544,3.6455696202531644,3.1578947368421053,2.4285714285714284,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=78:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,80,72,8,0,8,707.9589958726694,95.4146534599488,500.0,0.001,15.71574634213149,0.015715746342131492,-399.60289004574844,-393.62631243822483,-399.60289004574844,-5.976577607523609,-5.0752869165588095,0.9999991993749624,0.015715746342131492,0.015715746342131492,23,79,78,5,5,2.176224303134302,1.9246394302941403,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.34604340526908267,-5.544226537041437,11.728854342816717,0.0,11.728854342816717,2.105657191346017,0.8695861842313254,0.5090435939751226,8.497782210840915,9.598779570052091,11.421597406619235,2.3040441897986814,1.0,-0.4838684638650701,-0.024417581418608947,1.7984002551485343,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,48,8,0.16666666666666666,0.0,1.0,0.06363044924689032,-0.06048355798313376,-0.06048355798313376,-0.010080592997188961,7.698557721176565,-0.06285183295230537,3.675,3.3,2.625,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=76:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,81,72,9,0,9,711.37645027946,3.4174544067904864,500.0,0.001,15.71574634213149,0.015715746342131492,-405.27867601681976,-399.60289004574844,-405.27867601681976,-5.6757859710713205,-4.862555617639089,0.999476191796855,0.015715746342131492,0.015715746342131492,24,80,76,4,4,2.1595521310694132,3.84927886058828,0.0,11.547836581764843,125.72597073705192,0.0,-0.39118750666514085,-6.267514775279328,11.728854342816717,0.0,11.728854342816717,2.105657191346017,0.8627196425940983,0.5726740432220129,8.605503871627839,9.646165596957363,11.498647675051402,2.3908662459434704,1.0,-0.3761468030781465,0.022968445486663214,1.8754505235807013,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,48,8,0.16666666666666666,0.0,1.0,0.07158425540275161,-0.04179408923090517,-0.04179408923090517,-0.00783639173079472,7.698557721176565,-0.04885938596569492,3.7037037037037037,3.4285714285714284,2.7777777777777777,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=75:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,82,72,10,0,10,770.2107017351334,58.834251455673396,500.0,0.001,15.71574634213149,0.015715746342131492,-410.73816201706,-405.27867601681976,-410.73816201706,-5.459486000240247,-4.880279130105237,1.0,0.015715746342131492,0.015715746342131492,26,81,75,2,2,2.1567704284551197,5.7739182908824205,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.4346112000216903,-6.963239038125846,11.728854342816717,0.0,11.728854342816717,2.105657191346017,0.856053666369385,0.6363044924689032,8.787575391161509,9.696567069036561,11.497830212120917,2.4520331178884494,0.9722222222222222,-0.19407528354447656,0.07336991756586109,1.8746330606502166,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,48,8,0.16666666666666666,0.0,1.0,0.0795380615586129,-0.019407528354447656,-0.019407528354447656,-0.004043235073843261,7.698557721176565,-0.025209304206504822,3.707317073170732,3.4545454545454546,2.8,0.0
