step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=79:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,73,72,1,0,1,120.35539059699916,120.35539059699916,500.0,0.001,15.71574634213149,0.015715746342131492,-395.5797084709267,-391.9057632302745,-395.5797084709267,-3.6739452406521877,-3.6739452406521877,0.08329423548289373,0.015715746342131492,0.015715746342131492,0,72,79,12,12,2.357192271530779,0.0,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.02922184827139666,-0.4681856211699662,11.547836581764843,0.0,11.547836581764843,1.9246394302941425,0.5128574276184421,0.06363044924689032,9.088575087500105,9.6231971514707,9.6231971514707,1.0745770494422822,0.5,0.10692441279412002,0.0,0.0,0.08333333333333333,-1,4,0,0.0,0.020833333333333332,48,1,0.020833333333333332,0.0,1.0,0.00795380615586129,0.10692441279412002,0.10692441279412002,0.002227591933210834,7.698557721176565,0.013888888888889027,3.643835616438356,2.923076923076923,1.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=81:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,74,72,2,0,2,287.38836828288277,167.03297768588362,500.0,0.001,15.71574634213149,0.015715746342131492,-401.4539558714863,-395.5797084709267,-401.4539558714863,-5.874247400559625,-5.79635213039262,0.5003540013118875,0.015715746342131492,0.015715746342131492,20,73,81,11,11,2.357192271530778,1.9246394302941403,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.07594447340701999,-1.2167645977169474,11.482941155523873,0.0,11.482941155523873,1.859744004053173,0.6557342199345456,0.12726089849378064,8.259543116401053,9.584217094446203,9.6231971514707,2.0710812956400755,0.75,-0.7221075583049323,-0.03898005702449758,0.0,0.16666666666666666,-1,4,0,0.0,0.041666666666666664,48,2,0.041666666666666664,0.0,1.0,0.01590761231172258,-0.36105377915246617,-0.36105377915246617,-0.01504390746468609,7.698557721176565,-0.09379777153824771,3.6486486486486487,3.0,2.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=74:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,75,72,3,0,3,351.3988351666726,64.01046688378985,500.0,0.001,15.71574634213149,0.015715746342131492,-407.1684812142139,-401.4539558714863,-407.1684812142139,-5.7145253427275975,-5.657751499220126,0.45345851515569485,0.015715746342131492,0.015715746342131492,21,74,74,10,10,2.3302129031893686,3.84927886058828,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.1213967002558321,-1.9449895499215957,11.503383593022917,0.0,11.503383593022917,1.8801864415522171,0.7431652859008752,0.19089134774067096,8.370024821277905,9.585314094333093,10.158631206849336,1.918043614474547,0.7777777777777778,-0.6116258534280803,-0.03788305713760742,0.5354340553786354,0.25,-1,4,0,0.0,0.0625,48,3,0.0625,0.0,1.0,0.02386141846758387,-0.20387528447602676,-0.20387528447602676,-0.012742205279751673,7.698557721176565,-0.07944681011427242,3.6533333333333333,3.066666666666667,2.3333333333333335,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=73:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,76,72,4,0,4,394.5647908537939,43.16595568712133,500.0,0.001,15.71574634213149,0.015715746342131492,-412.8611393708803,-407.1684812142139,-412.8611393708803,-5.692658156666425,-5.645903643742031,0.37261341881685345,0.015715746342131492,0.015715746342131492,22,75,73,9,9,2.292131417702019,9.6231971514707,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.1666749997455395,-2.6704278786414934,11.497124352027539,0.0,11.497124352027539,1.8739272005568388,0.8017119864974643,0.2545217969875613,8.475932504573862,9.588273086947302,11.42406484657297,2.030353921906823,0.8055555555555556,-0.5057181701321234,-0.03492406452339836,1.8008676951022693,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,48,4,0.08333333333333333,0.0,1.0,0.03181522462344516,-0.12642954253303085,-0.12642954253303085,-0.010535795211085905,7.698557721176565,-0.06568998875478131,3.6578947368421053,3.125,2.5,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=77:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,77,72,5,0,5,447.72977947203617,53.16498861824223,500.0,0.001,15.71574634213149,0.015715746342131492,-418.6827475506844,-412.8611393708803,-418.6827475506844,-5.821608179804059,-5.746639605005726,0.45978634977536864,0.015715746342131492,0.015715746342131492,23,76,77,8,8,2.3101565079862616,5.7739182908824205,4.0827767774999995,11.547836581764843,125.72597073705192,0.0,-0.21297894272307746,-3.4122988275361696,11.500197598809889,0.0,11.500197598809889,1.8770004473391886,0.8440445040665638,0.3181522462344516,8.499466701766783,9.593392723244243,11.4431666384495,2.519022628913605,0.7777777777777778,-0.4821839729392021,-0.029804428226457347,1.819969486978799,0.4166666666666667,-1,4,0,0.0,0.10416666666666667,48,5,0.10416666666666667,0.0,1.0,0.03976903077930645,-0.09643679458784042,-0.09643679458784042,-0.010045499436233377,7.698557721176565,-0.06263302691267089,3.6623376623376624,3.176470588235294,2.6,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=82:site=Si:neigh=3:ahead0=1.925:mode=shell,z,xy,78,72,6,0,6,600.4463226844683,152.71654321243219,500.0,0.001,15.71574634213149,0.015715746342131492,-426.12053303230175,-418.6827475506844,-426.12053303230175,-7.437785481617368,-7.390360617463841,1.0,0.015715746342131492,0.015715746342131492,24,77,82,7,7,2.275509750224417,7.69855772117656,5.44370237,11.547836581764843,125.72597073705192,0.0,-0.27213764667274143,-4.360125751385972,11.532932083441816,0.0,11.532932083441816,1.9097349319711157,0.8796755385057345,0.3817826954813419,8.420603606025661,9.593255353133346,11.44842686561703,2.453350811100939,0.8611111111111112,-0.561047068680324,-0.02994179833735444,1.8252297141463298,0.5,-1,4,0,0.0,0.125,48,6,0.125,0.0,1.0,0.04772283693516774,-0.09350784478005399,-0.09350784478005399,-0.011688480597506748,7.698557721176565,-0.07287690616867643,3.6923076923076925,3.3333333333333335,3.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=72:site=Si:neigh=1:ahead0=1.925:mode=shell,z,xy,79,72,7,0,7,612.5443424127207,12.098019728252293,500.0,0.001,15.71574634213149,0.015715746342131492,-429.8847397695819,-426.12053303230175,-429.8847397695819,-3.764206737280176,-3.646015041489534,0.1665353425220142,0.015715746342131492,0.015715746342131492,22,78,72,6,6,2.3770426305374452,7.69855772117656,0.0,11.547836581764843,125.72597073705192,0.0,-0.302077417391655,-4.839813758165529,11.505755867946064,0.0,11.505755867946064,1.8825587164753639,0.8916001904248185,0.44541314472823224,8.277072095378994,9.589820864685748,11.439664656742762,2.6293778519488162,0.8888888888888888,-0.7045785793269914,-0.03337628678495186,1.8164675052720618,0.5833333333333334,-1,4,0,0.0,0.14583333333333334,48,7,0.14583333333333334,0.0,1.0,0.05567664309102903,-0.10065408276099877,-0.10065408276099877,-0.014678720402645654,7.698557721176565,-0.09152085427493699,3.670886075949367,3.263157894736842,2.7142857142857144,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=83:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,80,72,8,0,8,707.9589958726694,95.4146534599488,500.0,0.001,15.71574634213149,0.015715746342131492,-435.67264540740933,-429.8847397695819,-435.67264540740933,-5.787905637827407,-5.713189483244946,0.48132005115584126,0.015715746342131492,0.015715746342131492,23,79,83,5,5,2.328699108118469,9.6231971514707,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.3481132968833509,-5.577389856561143,11.48397258002849,0.0,11.48397258002849,1.8607754285577904,0.9058868459464892,0.5090435939751226,8.514965730618517,9.593161476151291,11.447624591474368,2.5618762334657115,0.8888888888888888,-0.4666849440874685,-0.030035675319409094,1.8244274400036673,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,48,8,0.16666666666666666,0.0,1.0,0.06363044924689032,-0.058335618010933565,-0.058335618010933565,-0.009722603001822261,7.698557721176565,-0.060619788925365806,3.675,3.3,2.75,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=80:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,81,72,9,0,9,711.37645027946,3.4174544067904864,500.0,0.001,15.71574634213149,0.015715746342131492,-441.339711548076,-435.67264540740933,-441.339711548076,-5.667066140666691,-5.62045760097817,0.594388092883758,0.015715746342131492,0.015715746342131492,24,80,80,4,4,2.314527850236569,0.0,0.0,11.547836581764843,125.72597073705192,0.0,-0.39318804243865874,-6.299566891733372,11.525581365717285,0.0,11.525581365717285,1.9023842142465845,0.9136620728401098,0.5726740432220129,8.848459076146417,9.595009114405046,11.44842686561703,2.3490341288448344,0.8611111111111112,-0.1331915985595682,-0.02818803706565376,1.8252297141463298,0.75,-1,4,0,0.0,0.1875,48,9,0.1875,0.0,1.0,0.07158425540275161,-0.014799066506618688,-0.014799066506618688,-0.002774824969991004,7.698557721176565,-0.01730085080653427,3.6790123456790123,3.3333333333333335,2.7777777777777777,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=78:site=Si:neigh=2:ahead0=1.925:mode=shell,z,xy,82,72,10,0,10,770.2107017351334,58.834251455673396,500.0,0.001,15.71574634213149,0.015715746342131492,-447.04618466094166,-441.339711548076,-447.04618466094166,-5.706473112865638,-5.648951697318864,0.8718099198545166,0.015715746342131492,0.015715746342131492,25,81,78,3,3,2.323899780686224,1.9246394302941403,9.526479147499998,11.547836581764843,125.72597073705192,0.0,-0.4385762234120264,-7.0267657158950625,11.517417038509322,0.0,11.517417038509322,1.8942198870386218,0.9176991393283646,0.6363044924689032,8.950738590659482,9.599804931702096,11.446711451558764,2.317941352518705,0.8333333333333334,-0.030912084046503807,-0.023392219768604505,1.823514300088064,0.8333333333333334,-1,4,0,0.0,0.20833333333333334,48,10,0.20833333333333334,0.0,1.0,0.0795380615586129,-0.0030912084046503807,-0.0030912084046503807,-0.0006440017509688293,7.698557721176565,-0.0040153084728420455,3.682926829268293,3.3636363636363638,2.8,0.0
