step,event_type,deposited_species,intended_species,impurity_kind,is_vacancy,species_flux,anchor_mode,growth_axis,surface_axes,n_atoms,n_initial,n_added,n_vacancies,n_growth_events,kmc_time,dt,temperature_K,flux_ML_s,n_sites,deposition_total_rate_s_inv,e_total_eV,e_before_eV,e_after_eV,delta_e_relaxed_eV,e_ads_unrelaxed_eV,chosen_boltzmann_probability,rate_s_inv,total_rate_s_inv,mobile_count,added_index,anchor_index,n_surface_anchors,n_tested_candidates,min_distance_A,x_event_A,y_event_A,z_event_A,surface_area_A2,gamma_initial_eV_A2,gamma_effective_eV_A2,gamma_effective_J_m2,top_coord_A,bottom_coord_A,slab_thickness_A,growth_height_A,roughness_A,coverage_estimate_ML,front_mean_A,front_median_A,front_p90_A,front_grid_rms_A,front_grid_occupied_fraction,growth_front_mean_A,growth_front_median_A,growth_front_p90_A,first_template_layer_occupancy,highest_90pct_complete_layer,n_template_layers,contiguous_90pct_complete_layers,contiguous_complete_layer_fraction,mean_template_layer_occupancy,n_template_growth_sites,n_occupied_template_growth_sites,template_growth_occupancy_fraction,frozen_vacancy_fraction_of_template,incorporation_efficiency_per_event,added_areal_density_atoms_A2,growth_front_mean_per_event_A,growth_front_mean_per_added_atom_A,growth_front_mean_per_template_site_A,template_growth_extent_A,growth_front_mean_fraction_of_template,coordination_mean,coordination_surface_mean,coordination_added_mean,fraction_added_CN4
1,template_deposition,Si,Si,none,0,1.0,template_site:index=59:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,55,54,1,0,1,131.0263532248944,131.0263532248944,500.0,0.001,14.435834799462505,0.014435834799462505,-264.97003,-258.08255,-264.97003,-6.8874817,-6.8874817,0.11110236446071878,0.014435834799462505,0.014435834799462505,0,54,59,9,9,2.3571922715307774,7.6985577211765595,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.059638754,-0.9555182,9.428769086123108,0.0,9.428769086123108,0.7857307571769248,0.23571922715307744,0.06927205900397485,7.195639565725532,8.643038328946183,8.643038328946183,1.6175803711672134,0.5277777777777778,0.37218825339959594,3.142923028707701,0.0,0.1111111111111111,-1,4,0,0.0,0.027777777777777776,36,1,0.027777777777777776,0.0,1.0,0.008659007375496856,0.37218825339959594,0.37218825339959594,0.01033856259443322,6.285846057415405,0.05921052631578941,3.0545454545454547,1.5,3.0,0.0
2,template_deposition,Si,Si,none,0,1.0,template_site:index=62:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,56,54,2,0,2,312.8688268018292,181.84247357693482,500.0,0.001,14.435834799462505,0.014435834799462505,-271.9943,-264.97003,-271.9943,-7.0242615,-6.9449463,0.12040523413426617,0.014435834799462505,0.014435834799462505,22,55,62,8,8,2.3571922715307765,11.547836581764841,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.12046189,-1.9300122,9.421155110582635,0.0,9.421155110582635,0.7781167816364523,0.3027903617575833,0.1385441180079497,7.154275387685793,8.626873533883451,8.721368848502951,1.9290249553043046,0.5555555555555556,0.3308240753598568,3.126758233644969,0.07833051955676851,0.2222222222222222,-1,4,0,0.0,0.05555555555555555,36,2,0.05555555555555555,0.0,1.0,0.01731801475099371,0.1654120376799284,0.1654120376799284,0.009189557648884912,6.285846057415405,0.052629999579704,3.107142857142857,1.9090909090909092,3.0,0.0
3,template_deposition,Si,Si,none,0,1.0,template_site:index=61:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,57,54,3,0,3,382.5545966074317,69.68576980560246,500.0,0.001,14.435834799462505,0.014435834799462505,-279.0361,-271.9943,-279.0361,-7.041809,-6.9517517,0.22692017027918912,0.014435834799462505,0.014435834799462505,22,56,61,7,7,2.3469888216094104,7.69855772117656,0.0,9.428769086123108,115.48667839570004,0.0,-0.18143696,-2.9069405,9.421155110582635,0.0,9.421155110582635,0.7781167816364523,0.3330167057919149,0.20781617701192454,7.261643438433021,8.629372769496426,9.389886313734724,1.943623117135138,0.5833333333333334,0.4381921261070847,3.1292574692579436,0.7468479847885412,0.3333333333333333,-1,4,0,0.0,0.08333333333333333,36,3,0.08333333333333333,0.0,1.0,0.025977022126490567,0.1460640420356949,0.1460640420356949,0.012172003502974574,6.285846057415405,0.06971092230140602,3.1578947368421053,2.25,3.0,0.0
4,template_deposition,Si,Si,none,0,1.0,template_site:index=54:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,58,54,4,0,4,429.54773691544807,46.99314030801639,500.0,0.001,14.435834799462505,0.014435834799462505,-286.09387,-279.0361,-286.09387,-7.05777,-6.9546814,0.7067909063185167,0.014435834799462505,0.014435834799462505,23,57,54,6,6,2.350380520733826,0.0,0.0,9.428769086123108,115.48667839570004,0.0,-0.24255024,-3.8860834,9.42551023121506,0.0,9.42551023121506,0.7824719022688775,0.35347566364000604,0.2770882360158994,7.215837214295309,8.626264219284803,9.3957741308011,1.9671644636630434,0.6111111111111112,0.39238590196937295,3.1261489190463205,0.7527358018549162,0.4444444444444444,-1,4,0,0.0,0.1111111111111111,36,4,0.1111111111111111,0.0,1.0,0.03463602950198742,0.09809647549234324,0.09809647549234324,0.010899608388038138,6.285846057415405,0.06242372122786491,3.206896551724138,2.5384615384615383,3.0,0.0
5,template_deposition,Si,Si,none,0,1.0,template_site:index=55:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,59,54,5,0,5,487.4264454912564,57.878708575808325,500.0,0.001,14.435834799462505,0.014435834799462505,-293.0061,-286.09387,-293.0061,-6.9122314,-6.697937,0.5071284600247303,0.014435834799462505,0.014435834799462505,23,58,55,5,5,2.227275965415264,1.9246394302941399,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.3024033,-4.845035,9.500593145182314,0.0,9.500593145182314,0.8575548162361315,0.3812179717397159,0.3463602950198742,7.254536345318794,8.632054307667143,9.418421596629273,2.00486897427724,0.6111111111111112,0.4310850329928577,3.1319390074286613,0.7753832676830896,0.5555555555555556,-1,4,0,0.0,0.1388888888888889,36,5,0.1388888888888889,0.0,1.0,0.043295036877484275,0.08621700659857154,0.08621700659857154,0.011974584249801603,6.285846057415405,0.06858027209945863,3.2542372881355934,2.7857142857142856,3.0,0.0
6,template_deposition,Si,Si,none,0,1.0,template_site:index=58:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,60,54,6,0,6,653.6831593366593,166.2567138454029,500.0,0.001,14.435834799462505,0.014435834799462505,-299.77957,-293.0061,-299.77957,-6.773468,-6.4919434,0.9909735243709509,0.014435834799462505,0.014435834799462505,24,59,58,4,4,2.1860811333567227,5.7739182908824205,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.3610548,-5.7847357,9.536466005931722,0.0,9.536466005931722,0.8934276769855387,0.40445596800904554,0.41563235402384907,7.435399079936324,8.62800364100126,9.43422286321366,2.0222707951281973,0.6111111111111112,0.6119477676103875,3.1278883407627784,0.7911845342674777,0.6666666666666666,-1,4,0,0.0,0.16666666666666666,36,6,0.16666666666666666,0.0,1.0,0.051954044252981134,0.10199129460173124,0.10199129460173124,0.016998549100288543,6.285846057415405,0.09735328578218574,3.3,3.0,3.0,0.0
7,template_deposition,Si,Si,none,0,1.0,template_site:index=56:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,61,54,7,0,7,666.8538149954782,13.170655658818898,500.0,0.001,14.435834799462505,0.014435834799462505,-305.8048,-299.77957,-305.8048,-6.025238,-5.9796143,0.3071017212610347,0.014435834799462505,0.014435834799462505,27,60,56,3,3,2.357027590989864,3.8492788605882797,6.66714655903974,9.428769086123108,115.48667839570004,0.0,-0.4132274,-6.620633,9.517884930634189,0.0,9.517884930634189,0.8748466016880059,0.4010385409323972,0.4849044130278239,7.437736029219664,8.64106114637972,9.434850728923179,2.019438942986131,0.6666666666666666,0.614284716893728,3.1409458461412374,0.7918123999769957,0.7777777777777778,-1,4,0,0.0,0.19444444444444445,36,7,0.19444444444444445,0.0,1.0,0.060613051628477986,0.08775495955624686,0.08775495955624686,0.01706346435815911,6.285846057415405,0.09772506537430344,3.3442622950819674,3.1875,3.0,0.0
8,template_deposition,Si,Si,none,0,1.0,template_site:index=60:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,62,54,8,0,8,770.7281327560809,103.87431776060266,500.0,0.001,14.435834799462505,0.014435834799462505,-311.7186,-305.8048,-311.7186,-5.913788,-5.894409,0.5660139524392969,0.014435834799462505,0.014435834799462505,27,61,60,2,2,2.350192414942424,9.6231971514707,3.33357327951987,9.428769086123108,115.48667839570004,0.0,-0.46443492,-7.441068,9.498808044674247,0.0,9.498808044674247,0.8557697157280639,0.39458668746514886,0.5541764720317988,7.560370725368415,8.650555392042717,9.431171323635887,1.990468488474339,0.7222222222222222,0.7369194130424788,3.150440091804235,0.788132994689704,0.8888888888888888,-1,4,0,0.0,0.2222222222222222,36,8,0.2222222222222222,0.0,1.0,0.06927205900397485,0.09211492663030985,0.09211492663030985,0.02046998369562441,6.285846057415405,0.11723472167650938,3.3870967741935485,3.3529411764705883,3.0,0.0
9,template_deposition,Si,Si,none,0,1.0,template_site:index=57:site=Si:neigh=3:ahead0=0.786:mode=shell,z,xy,63,54,9,0,9,774.448585874242,3.720453118161096,500.0,0.001,14.435834799462505,0.014435834799462505,-317.55768,-311.7186,-317.55768,-5.839081,-5.810211,1.0,0.014435834799462505,0.014435834799462505,27,62,57,1,1,2.377242551158323,3.84927886058828,0.0,9.428769086123108,115.48667839570004,0.0,-0.5149956,-8.251139,9.480744482481912,0.0,9.480744482481912,0.8377061535357289,0.38728323134675896,0.6234485310357736,7.673655402114023,8.658481036580765,9.427756633036639,2.0057720147318916,0.6944444444444444,0.8502040897880869,3.158365736342283,0.7847183040904557,1.0,0,4,1,0.25,0.25,36,9,0.25,0.0,1.0,0.0779310663794717,0.09446712108756522,0.09446712108756522,0.023616780271891305,6.285846057415405,0.1352569060747363,3.4285714285714284,3.5,3.0,0.0
10,template_deposition,Si,Si,none,0,1.0,template_site:index=70:site=Si:neigh=1:ahead0=3.143:mode=shell,z,xy,64,54,10,0,10,838.4992060809079,64.05062020666588,500.0,0.001,14.435834799462505,0.014435834799462505,-320.95358,-317.55768,-320.95358,-3.3959045,-3.3730469,0.11111015914198555,0.014435834799462505,0.014435834799462505,17,63,70,9,9,2.365308328390623,7.69855772117656,0.0,11.785961357653884,115.48667839570004,0.0,-0.54440075,-8.722261,11.710045046161826,0.0,11.710045046161826,3.0670067172156426,0.6843195423588806,0.6927205900397484,7.862017873597001,8.666671713686213,9.455086602100014,2.1247146329542623,0.6666666666666666,1.0385665612710646,3.166556413447731,0.812048273153831,1.0,0,4,1,0.25,0.2777777777777778,36,10,0.2777777777777778,0.0,1.0,0.08659007375496855,0.10385665612710646,0.10385665612710646,0.02884907114641846,6.285846057415405,0.16522303470125058,3.40625,2.9,2.9,0.1
